BPF Resource Thief Detector — Session Report
Generated: 2026-06-25 03:39:16.253215
============================================================

[INFO] 03:38:59 | PID 14195 (sh) | New process → /usr/bin/which
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/46
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/47
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/48
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/49
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/51
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/52
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/53
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/54
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/55
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/57
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/58
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/59
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/60
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/61
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/62
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/63
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/64
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/65
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/66
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/67
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/69
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/70
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/71
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/72
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/73
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/75
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/77
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/78
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/79
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/80
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/81
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/82
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/83
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/84
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/85
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/86
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/87
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/88
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/89
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/90
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/91
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/92
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/93
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/94
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/96
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/97
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/98
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/99
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/100
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/101
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/102
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/103
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/104
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/105
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/106
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/107
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/108
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/109
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/110
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/111
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/112
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/113
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/114
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/115
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/116
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/117
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/120
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/121
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/122
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/123
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/126
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/129
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/130
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/132
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/133
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/134
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/151
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/286
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/307
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/347
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/415
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/429
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/430
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/431
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/432
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/433
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/456
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/457
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/466
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/467
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/495
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/646
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/675
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/686
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/728
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/730
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/732
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/735
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/738
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/739
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/742
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/800
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/808
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/809
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/846
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/906
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1108
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1110
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1139
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1140
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1141
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1145
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1215
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1216
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1217
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1575
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1579
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1580
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1582
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1583
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1593
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1595
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1610
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1613
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1617
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1621
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1626
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1627
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1630
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1713
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1725
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1733
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1742
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1822
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1936
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1937
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1938
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2295
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2300
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2316
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2340
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2523
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2538
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2539
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2643
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2854
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2977
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/3023
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/3060
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4017
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4028
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4167
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4201
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4222
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4223
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4227
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4238
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4241
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4243
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4245
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4325
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4331
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4338
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4397
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4411
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4711
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4712
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4713
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4725
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4731
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4735
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4750
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4806
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4813
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4815
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4834
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4842
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4847
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4871
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4874
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4875
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4882
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4885
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4886
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4888
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4894
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4898
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4913
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4917
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4918
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4924
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4933
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4935
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4938
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4940
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4941
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4942
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4950
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5025
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5030
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5037
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5043
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5058
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5096
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5102
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5122
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5125
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5129
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5142
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5149
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5165
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5172
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5183
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5193
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5212
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5220
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5232
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5281
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5449
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5552
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5578
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5587
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5613
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5751
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5752
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5753
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5776
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5796
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5975
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6039
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6227
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6234
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6235
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6237
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6239
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6253
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6254
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6256
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6290
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6292
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6305
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6384
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6492
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6510
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6651
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6666
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6709
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6755
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6838
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6996
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/7126
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/7127
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/7128
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/7977
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/8197
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9129
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9305
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9604
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9657
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9666
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9690
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9743
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9752
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9799
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9806
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9815
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9821
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9826
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9827
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9876
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/9935
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10028
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10326
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10331
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10332
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10334
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10357
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10374
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10380
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10425
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10445
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10446
